,itc_id,rand_index,IoU
0,106,0.0,0.0
1,107,0.9855977784774193,0.8113636363636364
2,108,0.999754638476742,0.9236453201970444
3,109,0.9991396835862574,0.8923841059602649
4,110,0.6963166074391586,0.4192546583850932
5,111,0.09848968064305888,0.12609970674486803
6,112,0.0,0.0
7,113,0.0,0.0
8,114,0.989789219447953,0.8151382823871907
9,115,0.984504830048441,0.8297404311482622
10,116,0.7465424646117836,0.4262114537444934
11,117,0.0,0.0
12,118,0.0,0.0
13,119,0.0,0.0
14,120,0.6890680061787736,0.2794253085282741
15,133,0.0,0.0
16,134,0.0,0.0
17,1245,0.6643112249787563,0.38704581358609796
18,1246,0.7061028134788919,0.5265724037055095
19,1248,0.0,0.0
20,1249,0.9034833686353835,0.611764705882353
21,1250,0.9844192171574266,0.775527192008879
22,1251,0.9314558032505293,0.6396719630958483
23,1252,0.8894337959597256,0.5121951219512195
24,1253,0.9644970960213672,0.6786226685796269
25,1254,0.44775661701850444,0.533715925394548
26,1256,0.4574803458222697,0.0
27,1257,0.8877549114124308,0.6221009549795361
28,1258,0.9593074781381122,0.6757656458055925
29,1259,0.8918392536395169,0.505945945945946
30,1260,0.9955257270693513,0.8114874815905744
31,1261,0.0,0.0
32,1262,0.9158815240210512,0.6256133464180569
33,1263,0.9812888086531572,0.7034632034632035
34,1264,0.0,0.0
35,1265,0.9361715978257331,0.5871886120996441
36,1266,0.0,0.0
37,1267,0.7590249751692036,0.45641389085754785
