,precision,recall,f1-score,support
ACSA2,0.8181818181818182,0.9,0.8571428571428572,10.0
PIPA,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
QULA,0.7777777777777778,0.7,0.7368421052631577,10.0
accuracy,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
macro F1,0.8097643097643098,0.8111111111111112,0.8091060985797828,26.0
micro F1,0.8061383061383061,0.8076923076923077,0.8053788316946212,26.0
